,Time,TPU_cores
938,1651092298,24
939,1651092328,24
940,1651092358,24
941,1651092388,24
942,1651092418,24
943,1651092448,24
944,1651092478,24
945,1651092508,24
946,1651092538,24
947,1651092568,24
948,1651092598,24
949,1651092628,24
950,1651092658,24
951,1651092688,24
952,1651092718,24
953,1651092748,24
954,1651092778,24
955,1651092808,24
956,1651092838,24
957,1651092868,24
958,1651092898,24
959,1651092928,24
960,1651092958,24
961,1651092988,24
962,1651093018,24
963,1651093048,24
964,1651093078,24
965,1651093108,24
966,1651093138,24
967,1651093168,24
968,1651093198,24
969,1651093228,24
970,1651093258,24
971,1651093288,24
972,1651093318,24
973,1651093348,24
974,1651093378,24
975,1651093408,24
976,1651093438,24
977,1651093468,24
978,1651093498,24
979,1651093528,24
980,1651093558,24
981,1651093588,24
982,1651093618,24
983,1651093648,24
984,1651093678,24
985,1651093708,24
986,1651093738,24
987,1651093768,24
988,1651093798,24
989,1651093828,24
990,1651093858,24
991,1651093888,24
992,1651093918,24
993,1651093948,24
994,1651093978,24
995,1651094008,24
996,1651094038,24
997,1651094068,24
998,1651094098,24
999,1651094128,24
1000,1651094158,24
1001,1651094188,24
1002,1651094218,24
1003,1651094248,24
1004,1651094278,24
1005,1651094308,24
1006,1651094338,24
1007,1651094368,24
1008,1651094398,24
1009,1651094428,24
1010,1651094458,24
1011,1651094488,24
1012,1651094518,24
1013,1651094548,24
1014,1651094578,24
1015,1651094608,24
1016,1651094638,24
1017,1651094668,24
1018,1651094698,24
1019,1651094728,24
1020,1651094758,24
1021,1651094788,24
1022,1651094818,24
1023,1651094848,24
1024,1651094878,24
1025,1651094908,24
1026,1651094938,24
1027,1651094968,24
1028,1651094998,24
1029,1651095028,24
1030,1651095058,24
1031,1651095088,24
1032,1651095118,24
1033,1651095148,24
1034,1651095178,24
1035,1651095208,24
1036,1651095238,24
1037,1651095268,24
1038,1651095298,24
1039,1651095328,24
1040,1651095358,24
1041,1651095388,24
1042,1651095418,24
1043,1651095448,24
1044,1651095478,24
1045,1651095508,24
1046,1651095538,24
1047,1651095568,24
1048,1651095598,24
1049,1651095628,24
1050,1651095658,24
1051,1651095688,24
1052,1651095718,24
1053,1651095748,24
1054,1651095778,24
1055,1651095808,24
1056,1651095838,24
1057,1651095868,24
1058,1651095898,24
1059,1651095928,24
1060,1651095958,24
1061,1651095988,24
1062,1651096018,24
1063,1651096048,24
1064,1651096078,24
1065,1651096108,24
1066,1651096138,24
1067,1651096168,24
1068,1651096198,24
1069,1651096228,24
1070,1651096258,24
1071,1651096288,24
1072,1651096318,24
1073,1651096348,24
1074,1651096378,24
1075,1651096408,24
1076,1651096438,24
1077,1651096468,24
1078,1651096498,24
1079,1651096528,24
1080,1651096558,24
1081,1651096588,24
1082,1651096618,24
1083,1651096648,24
1084,1651096678,24
1085,1651096708,24
1086,1651096738,24
1087,1651096768,24
1088,1651096798,24
1089,1651096828,24
1090,1651096858,24
1091,1651096888,24
1092,1651096918,24
1093,1651096948,24
1094,1651096978,24
1095,1651097008,24
1096,1651097038,24
1097,1651097068,24
1098,1651097098,24
1099,1651097128,24
1100,1651097158,24
1101,1651097188,56
1102,1651097218,56
1103,1651097248,32
1104,1651097278,56
1105,1651097308,56
1106,1651097338,56
1107,1651097368,72
1108,1651097398,72
1109,1651097428,72
1110,1651097458,56
1111,1651097488,64
1112,1651097518,64
1113,1651097548,48
1114,1651097578,56
1115,1651097608,56
1116,1651097638,56
1117,1651097668,80
1118,1651097698,80
1119,1651097728,80
1120,1651097758,80
1121,1651097788,80
1122,1651097818,80
1123,1651097848,64
1124,1651097878,64
1125,1651097908,64
1126,1651097938,72
1127,1651097968,72
1128,1651097998,72
1129,1651098028,72
1130,1651098058,72
1131,1651098088,72
1132,1651098118,72
1133,1651098148,72
1134,1651098178,72
1135,1651098208,72
1136,1651098238,72
1137,1651098268,40
1138,1651098298,40
1139,1651098328,40
1140,1651098358,40
1141,1651098388,72
1142,1651098418,72
1143,1651098448,72
1144,1651098478,72
1145,1651098508,72
1146,1651098538,72
1147,1651098568,72
1148,1651098598,72
1149,1651098628,72
1150,1651098658,72
1151,1651098688,64
1152,1651098718,64
1153,1651098748,64
1154,1651098778,64
1155,1651098808,72
1156,1651098838,72
1157,1651098868,72
1158,1651098898,72
1159,1651098928,72
1160,1651098958,72
1161,1651098988,72
1162,1651099018,72
1163,1651099048,72
1164,1651099078,72
1165,1651099108,64
1166,1651099138,64
1167,1651099168,64
1168,1651099198,64
1169,1651099228,64
1170,1651099258,64
1171,1651099288,64
1172,1651099318,64
1173,1651099348,64
1174,1651099378,64
1175,1651099408,64
1176,1651099438,64
1177,1651099468,64
1178,1651099498,64
1179,1651099528,64
1180,1651099558,64
1181,1651099588,64
1182,1651099618,64
1183,1651099648,64
1184,1651099678,64
1185,1651099708,64
1186,1651099738,64
1187,1651099768,64
1188,1651099798,64
1189,1651099828,64
1190,1651099858,64
1191,1651099888,64
1192,1651099918,64
1193,1651099948,64
1194,1651099978,64
1195,1651100008,64
1196,1651100038,64
1197,1651100068,64
1198,1651100098,64
